Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
12645,Kezia Dugdale MSP,LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.keziadugdale.com/,[]
21339,Finlay Carson for MSP - Finlay Carson for MSP for Galloway and West Dumfries,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.finlaycarson.co.uk/,[]
12643,Neil Bibby MSP | West of Scotland | Paisley,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.neilbibby.com/,[]
15888,Get Britain Out,LIVE,No QA issues found (OK to publish),False,False,False,True,http://getbritainout.org/,"['http://getbritainout.org/about/', 'http://getbritainout.org/blog/', 'https://getbritainout.org/e-newsletter/', 'https://getbritainout.org/blog/media-coverage/', 'https://getbritainout.org/latest-eu-news-7/']"
13690,"Pete Wishart MP, Scottish National Party Member of Parliament, Perth",LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.petewishartmp.com,['http://www.petewishartmp.com/sitemap.xml.gz']
1988,Welsh Government - Llywodraeth Cymru,LIVE,QA issues found,False,False,False,True,http://www.gov.wales/,"['https://llyw.cymru/', 'http://gov.wales/', 'https://gov.wales/', 'http://gov.wales/splash?orig=/&force=en', 'http://gov.wales/?skip=1&lang=en', 'https://gov.wales/?skip=1&lang=cy', 'http://gov.wales/splash?orig=/&force=cy']"
22302,Patrick Grady - SNP MP for Glasgow North,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.patrickgrady.scot/,[]
13873,Ian Murray MP,LIVE,QA issues found,False,False,False,True,http://www.ianmurraymp.co.uk,['http://www.ianmurraymp.co.uk/sitemap.xml']
2952,Stonewall,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.stonewall.org.uk/,[]
13883,Jo Swinson East Dunbartonshire Liberal Democrats,LIVE,QA issues found,False,False,False,True,http://www.joswinson.org.uk/,"['http://www.joswinson.org.uk/sitemap_index.xml', 'http://ldeastdunbartonshire.nationbuilder.com/']"
12672,John Lamont,LIVE,QA issues found,True,False,False,True,http://www.johnlamont.org/,['https://www.johnlamont.org/sitemap.xml']
16840,Scotland's Aquaculture,LIVE,No QA issues found (OK to publish),False,False,False,True,http://aquaculture.scotland.gov.uk/,[]
16864,Marine Scotland Data Publications,LIVE,"QA issues, but OK to publish",False,False,False,True,http://marinedata.scotland.gov.uk/,[]
6589,Basildon District Council,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.basildon.gov.uk/,['http://www.basildonmeetings.info/']
6558,Mid Sussex District Council,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.midsussex.gov.uk/,['http://mid-sussex.cmis.uk.com/']
6611,North Hertfordshire District Council,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.north-herts.gov.uk/,['http://web.north-herts.gov.uk/']
5753,Slugger O'Toole,,QA issues found,False,False,False,True,http://www.sluggerotoole.com/,['http://sluggerotoole.com/']
2296,Open Data Institute (ODI),LIVE,QA issues found,True,False,False,True,http://www.theodi.org/,[]
954,Nuffield Trust,LIVE,QA issues found,False,False,False,True,http://www.nuffieldtrust.org.uk/,[]
15700,"Education Foundation, The",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.ednfoundation.org/,[]
3836,News Now,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.newsnow.co.uk/,[]
11,Runnymede Trust,LIVE,QA issues found,False,False,False,True,http://www.runnymedetrust.org/,[]
28171,Emily Shuckburgh (@emilyshuckburgh) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,True,https://twitter.com/emilyshuckburgh/,[]
28166,Ben Pile (@clim8resistance) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,True,https://twitter.com/clim8resistance/,[]
29908,Attila the Stockbroker (@atilatstokbroka) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,True,https://twitter.com/@atilatstokbroka/,[]
951,"King's Fund, The",LIVE,QA issues found,False,False,False,True,http://www.kingsfund.org.uk/,[]
3182,Parliamentary Publications,LIVE,QA issues found,False,False,False,True,http://services.parliament.uk/bills/,['http://www.publications.parliament.uk/']
793,Parliament,LIVE,QA issues found,False,False,False,True,http://www.parliament.uk/,[]
56263,Cartooning the First World War,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.cartoonww1.org/,[]
31519,Brighton Digital Festival,LIVE,No QA issues found (OK to publish),False,False,False,True,http://brightondigitalfestival.co.uk/,[]
31030,Posters of Hope: an eye towards self-determination,DEAD,"QA issues, but OK to publish",False,False,False,True,http://postersofhope.com/,[]
45788,Display At Your Own Risk (DAYOR),LIVE,QA issues found,False,False,False,True,http://displayatyourownrisk.org/,['http://displayatyourownrisk.org/sitemap.xml']
20996,Green Party in Northern Ireland,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.greenpartyni.org/,[]
23043,Gordon Henderson (Conservative Politician),LIVE,Recrawl Requested,True,False,False,True,http://www.gordonhendersonmp.org.uk/,[]
27348,"Global Warming Policy Forum, The",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.thegwpf.com/,[]
9499,English Democrats,LIVE,QA issues found,True,False,False,True,http://www.englishdemocrats.org.uk/,[]
24834,Diane Abbott (Labour Politician),LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.dianeabbott.org.uk/,[]
23532,Derek Thomas (Conservative Politician),LIVE,No QA issues found (OK to publish),False,False,False,True,http://derekthomas.org/,[]
